idx,TERMINAL,RAIL_CO,FRA_RRS_TO_MATCH,FRANODEID,FRA_RRS_AT_NODE,FRA_YARD_NAME,DISTANCE_TO_NODE,DISCARD,IS_CLOSEST_NODE,CLOSEST_FRANODEID,CLOSEST_DISTANCE,CLOSEST_FRA_RRS,LAT_AT_NODE,LON_AT_NODE
194,Railport Oakland,UP,UP,308193.0,UP,WEST OAKLAND,0.08,,Y,308193,0.08,{'UP'},37.800284701000066,-122.299569599
195,Oakland International Gateway (OIG) - Joint Intermodal Terminal (JIT),BNSF,BNSF,308175.0,"BNSF,UP,AMTK",WEST OAKLAND,0.6,,,308009,0.03,{'UP'},37.802710052000066,-122.30114305899997
196,"Omaha, NE",BNSF,BNSF,366160.0,BNSF,GIBSON,0.03,,Y,366160,0.03,{'BNSF'},41.21767384900005,-95.92973600299996
197,"Philadelphia, PA - Greenwhich","CSX, CPKC, NS","CSXT, CPKC, NS",484732.0,"NS,CSAO,CSXT,CPKC",GREENWICH YARDS,0.08,,,484734,0.06,"{'CPKC', 'CSAO', 'CSXT'}",39.90198264700007,-75.14264522799994
198,"Phoenix, AZ - Glendale",BNSF,BNSF,332273.0,BNSF,,0.42,,Y,332273,0.42,{'BNSF'},33.510642002000054,-112.15626011999996
199,"Pittsburgh, PA",NS,NS,464631.0,NS,PITCAIRN,0.02,,Y,464631,0.02,{'NS'},40.397477568000056,-79.77702941099994
200,"Pittsburgh, PA - McKees Rocks",CSX,CSXT,460719.0,"POHC,PAM,CSXT",,0.04,,Y,460719,0.04,"{'POHC', 'PAM', 'CSXT'}",40.47686516400006,-80.06164269199996
201,"Port Newark Container Terminal, NJ - ExpressRail (Newark)",CSX,CSXT,488341.0,"CSXT,NS,CSAO",,0.18,,,488335,0.1,{'CSAO'},40.69242019200004,-74.15047669699999
202,"Portland, OR - Brooklyn",UP,UP,304958.0,UP,BROOKLYN,0.15,,Y,304958,0.15,{'UP'},45.48928720300006,-122.64572612899997
203,"Portland, OR - Terminal 2 (Guilds Lake)","BNSF, UP","BNSF, UP",304019.0,"BNSF,AMTK,PNWR,UP",LAKE,0.25,,,304033,0.07,{'BNSF'},45.55539322900006,-122.72488892999996
204,"Portland, OR - Terminal 6",BNSF,BNSF,303710.0,BNSF,KELLEY POINT,0.13,,Y,303710,0.13,{'BNSF'},45.63754023200005,-122.75357173399999
205,"Portsmouth, VA",CSX,CSXT,480030.0,CSXT,,0.06,,Y,480030,0.06,{'CSXT'},36.85024332800003,-76.31826329599994
206,"Rutherford, PA",NS,NS,477553.0,"CPKC,NS",RUTHERFORD,0.03,,Y,477553,0.03,"{'CPKC', 'NS'}",40.25982075400003,-76.79370480699998
207,"Salt Lake City, UT",UP,UP,332914.0,"BNSF,UP",SALT LAKE CITY INTERMODAL,0.25,,Y,332914,0.25,"{'BNSF', 'UP'}",40.751985095000066,-112.02188503499997
208,"San Antonio, TX - SAIT",UP,UP,351846.0,UP,SAN ANTONIO INTERMODAL TERM,0.08,,Y,351846,0.08,{'UP'},29.30362952200005,-98.63783242099998
209,"San Bernardino, CA",BNSF,BNSF,325440.0,BNSF,SAN BERNARDINO A,0.06,,Y,325440,0.06,{'BNSF'},34.105342619000055,-117.32101874499995
210,"Santa Teresa, NM",UP,UP,338448.0,UP,SANTA TERESA INTERMODAL,0.42,,Y,338448,0.42,{'UP'},31.89566301900004,-106.73864412499995
211,"Savannah, GA",CSX,CSXT,453318.0,CSXT,SAVANNAH,0.11,,Y,453318,0.11,{'CSXT'},32.065720406000025,-81.14914430599998
212,Mason ICTF,NS,NS,453240.0,NS,FOUNDATION LEAD,0.2,,Y,453240,0.2,{'NS'},32.135412071000076,-81.15972835099996
213,Chatham ICTF,CSX,CSXT,453324.0,"NS,CSXT,SAPT",,0.64,,,453354,0.05,{'AWRY'},32.11264920000008,-81.14820469999995
214,ARGO Yard,UP,UP,307667.0,UP,ARGO,0.04,,Y,307667,0.04,{'UP'},47.56257749900004,-122.33450427199995
215,Seattle International Gateway (SIG),BNSF,BNSF,307507.0,BNSF,SEATTLE INTMDL GATE,0.02,,Y,307507,0.02,{'BNSF'},47.57784942300003,-122.33815217099999
216,"Seattle, WA - South Seattle",BNSF,BNSF,308581.0,BNSF,VAN ASSELT,0.05,,Y,308581,0.05,{'BNSF'},47.493053736000036,-122.26828087899997
217,"Sparks, NV",UP,UP,317046.0,UP,SPARKS,0.05,,Y,317046,0.05,{'UP'},39.53179926000007,-119.75166697599997
218,"Spokane, WA",BNSF,BNSF,325420.0,BNSF,YARDLEY,0.1,,Y,325420,0.1,{'BNSF'},47.672602590000054,-117.32277876299997
219,"Springfield, MA",CSX,CSXT,492598.0,"CSO,CSXT",WEST SPRINGFIELD,0.08,,Y,492598,0.08,"{'CSO', 'CSXT'}",42.097930000000076,-72.61452999899996
220,"St. Louis, MO",NS,NS,395008.0,NS,LUTHER,0.1,,Y,395008,0.1,{'NS'},38.688806449000026,-90.21350361099996
221,"Dupo, IL - St. Louis",UP,UP,395061.0,UP,DUPO,0.14,,Y,395061,0.14,{'UP'},38.52635928600006,-90.21069757799995
222,"St. Louis, MO - Lindenwood",BNSF,BNSF,394089.0,"BNSF,TRRA",LINDENWOOD,0.07,,Y,394089,0.07,"{'BNSF', 'TRRA'}",38.60213998200004,-90.31255009099999
223,"St. Paul, MN - Midway",BNSF,BNSF,382727.0,BNSF,ST. PAUL INTERMODAL,0.33,,Y,382727,0.33,{'BNSF'},44.970173997000074,-93.16769352499995
224,"Stackbridge, MA",CSX,CSXT,493516.0,"PW,CSXT,ST",SOUTH WORCESTER,1.45,,,493549,0.07,{'PW'},42.24569550900003,-71.80478138199999
225,"Stockton, CA",BNSF,BNSF,314417.0,BNSF,STOCKTON INTERMODAL TERMINAL,0.25,,Y,314417,0.25,{'BNSF'},37.90194646100008,-121.16602715199997
226,"Syracuse, NY",CSX,CSXT,481084.0,CSXT,DEWITT,0.01,,Y,481084,0.01,{'CSXT'},43.07133433900003,-76.03585518999995
227,"Tacoma, WA - North Yard",BNSF,BNSF,305910.0,"TMBL,BNSF,UP",,0.07,,,305901,0.06,{'TMBL'},47.26863646700008,-122.407026584
228,Tacoma South Intermodal Yard (TacSIM),UP,UP,305922.0,"TMBL,BNSF,UP",TMBL-SEALAND,0.08,,,305912,0.06,{'TMBL'},47.25794846600007,-122.40625948599995
229,"Tampa, FL",CSX,CSXT,445647.0,CSXT,,0.07,,Y,445647,0.07,{'CSXT'},27.961524908000058,-82.38308775299998
230,"Taylor, PA",NS,NS,482138.0,"CPKC,RBMN,NS,DL",TAYLOR,0.04,,Y,482138,0.04,"{'CPKC', 'RBMN', 'NS', 'DL'}",41.385572000000025,-75.70658469799997
231,Fenix Marine Services (Berths 302-305),PHL,PHL,320899.0,PHL,GLOBAL GATEWAY SOUTH,0.19,,Y,320899,0.19,{'PHL'},33.742731764919206,-118.2559785001769
232,APM Termianls Pacific (Berths 400-406),PHL,PHL,321197.0,PHL,PIER 400,0.05,,Y,321197,0.05,{'PHL'},33.72776407400005,-118.24104102299998
233,Total Terminals International (TTI/Pier T),PHL,PHL,321840.0,PHL,,0.07,,Y,321840,0.07,{'PHL'},33.76221316200008,-118.22364040099995
234,"Toledo, OH",NS,NS,437811.0,NS,TOLEDO MEGA TERMINAL,0.03,,Y,437811,0.03,{'NS'},41.63745085100004,-83.58891444899996
235,"Tucson, AZ",UP,UP,335483.0,UP,,0.07,,Y,335483,0.07,{'UP'},32.125675682000065,-110.84916164099997
236,"Wilmington, CA - TraPac Intermodal Container Transfer Facility",PHL,PHL,320774.0,"BNSF,PHL,UP",YANG MING TERMINAL,0.4,,Y,320774,0.4,"{'BNSF', 'PHL', 'UP'}",33.76917008200007,-118.28019103199995
237,Container Terminal (South Gate),CSX via WTRY,WTRY,472362.0,WTRY,,0.05,,Y,472362,0.05,{'WTRY'},34.19148099500006,-77.95169129999994
238,"Winter Haven, FL - Central Florida Intermodal Logistics Center (CFILC)","CSX, EVWR",CSXT,449598.0,CSXT,CENTRAL FLORIDA ILC,0.11,,Y,449598,0.11,{'CSXT'},27.939631440000028,-81.69141780499996
239,"Worcester, MA",CSX,CSXT,493551.0,"CSXT,ST",,0.19,,Y,493551,0.19,"{'CSXT', 'ST'}",42.25726722300004,-71.78911068599996
240,"Wylie, TX",CPKC,CPKC,363472.0,CPKC,WYLIE,0.31,,Y,363472,0.31,{'CPKC'},33.029893823000066,-96.50817726799994
241,Maple Heights,NS,NS,450808.0,NS,MAPLE HEIGHTS INTERMODAL,0.2,,Y,450808,0.2,{'NS'},41.417396352000026,-81.57777601699996
242,Raleigh Carolina Connector,CSX,CSXT,472736.0,CSXT,ROCKY MOUNT,0.03,,Y,472736,0.03,{'CSXT'},35.914978000000076,-77.80627799899997
