idx,TERMINAL,RAIL_CO,FRA_RRS_TO_MATCH,FRANODEID,FRA_RRS_AT_NODE,FRA_YARD_NAME,DISTANCE_TO_NODE,DISCARD,IS_CLOSEST_NODE,CLOSEST_FRANODEID,CLOSEST_DISTANCE,CLOSEST_FRA_RRS,LAT_AT_NODE,LON_AT_NODE
90,"Chicago, IL - Calumet",NS,NS,415444.0,NS,CALUMET,0.13,,Y,415444,0.13,{'NS'},41.706460881000055,-87.57513436999994
91,"Chicago, IL - Cicero",BNSF,BNSF,413384.0,BNSF,CICERO,0.15,,Y,413384,0.15,{'BNSF'},41.84165543600005,-87.75881427699994
92,"Chicago, IL - Corwith",BNSF,BNSF,413842.0,BNSF,CORWITH,0.27,,Y,413842,0.27,{'BNSF'},41.817582651000066,-87.71276412599997
93,"Chicago, IL - Franklin Park (Bensenville Intermodal Terminal)",CPKC,CPKC,412339.0,CPKC,,0.14,,Y,412339,0.14,{'CPKC'},41.94041635900004,-87.89106329199996
94,"Chicago, IL - Harvey (Gateway)",CN,CN,414489.0,CN,MARKHAM,0.04,,Y,414489,0.04,{'CN'},41.58224677900006,-87.65264973799998
95,"Chicago, IL - Joliet (Global IV)",UP,UP,410082.0,UP,GLOBAL IV,0.69,,Y,410082,0.69,{'UP'},41.479114707000065,-88.11794809199995
96,"Chicago, IL - Landers",NS,NS,414082.0,NS,LANDERS,0.06,,Y,414082,0.06,{'NS'},41.75649913900003,-87.68627486699995
97,"Chicago, IL - Logistics Park Chicago (LPC)",BNSF,BNSF,409898.0,BNSF,LOGISTICS PARK CHICAGO,0.31,,Y,409898,0.31,{'BNSF'},41.40116889600006,-88.15461216199998
98,"Chicago, IL - Rochelle (Global III)",UP,UP,403382.0,UP,GLOBAL 3,0.41,,Y,403382,0.41,{'UP'},41.90825189900005,-89.10283124799997
99,"Chicago, IL - Schiller Park",CPKC,CPKC,412528.0,"NIRC,CN,CPKC,CSXT",SCHILLER PARK,0.2,,,412533,0.03,{'CN'},41.962685521000026,-87.87026116999994
100,"Chicago, IL - Willow Springs",BNSF,BNSF,412490.0,BNSF,WILLOW SPRINGS,0.17,,Y,412490,0.17,{'BNSF'},41.74733725500005,-87.87469535499997
101,"Chippewa Falls, WI",CN,CN,389053.0,CN,CHIPPEWA FALLS,0.11,,Y,389053,0.11,{'CN'},44.92952683800007,-91.40968853199996
102,"Cincinnati, OH - Gest Street",NS,NS,431783.0,NS,GEST STREET,0.04,,Y,431783,0.04,{'NS'},39.10743410400005,-84.54025252299994
103,"Cincinnati, OH - Queensgate Yard",CSX,CSXT,431759.0,CSXT,QUEENSGATE,0.15,,,431761,0.12,{'NS'},39.12287181000005,-84.54115682599996
104,"Cincinnati, OH - Sharonville",NS,NS,432835.0,NS,SHARONVILLE,0.01,,Y,432835,0.01,{'NS'},39.26579165900006,-84.42194828499998
105,"Cleveland, OH - Collinwood Yard",CSX,CSXT,450853.0,CSXT,COLLINGWOOD,0.03,,Y,450853,0.03,{'CSXT'},41.565349393000076,-81.57132545199994
